Nama;Alamat;Telpon;Fax;Kota;Situs;Cabang;keg1;keg2;keg3;keg4;keg5;keg6;keg7;keg8;keg9;keg10;keg11;keg12
Rumah Zakat21;Jl. Gedung Empat No.E.3 Gatot Subroto;022-70723062 ;-;Cimahi;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat22;Taman Rempoa Indah, Jl. Delima Jaya Ciputat Timur;021-26329700 ;-;Ciputat;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat23;Jl. Tuparev Komp. Ruko Cirebon Bisnis Centre (CBC) Blok D8;0231-237399 ;-;Cirebon;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat24;Jl, Tole Iskandar, Ruko Griya Depok Asri Blok B1 No.2C;021-77824992 ;021-23711522 ;Depok;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat25;Jl. Beringin Raya No.144C Perumnas;021-5588811 ;-;Tangerang;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat26;Jl. Dr. Sutomo No.53;024-70780960 ;-;Semarang;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat27;Jl. Kartini No.10 Kel. Pocanan, Kec. Kota;0354-7604700 ;-;Kediri;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat28;Ruko Istana, Jl. W.R Supratman C3 Kav.19;0341-351932 ;-;Malang;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat29;Jl. Raya Nginden No.29;031-5914145 ;031-5914145 ;Surabaya;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat30;Jl. Dukuh Kampung Barat No.329;031-78458991 ;-;Surabaya;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat31;Jl. Raya Menganti No. 17 B Wiyung;031-78458992 ;-;Surabaya;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat32;Jl. Kali Larangan No.39 Kel. Jayengan, Kec. Serengan;0271-7072671 ;-;Surabaya;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat33;Jl. Irian No.35 Kel. Akcaya, Kec. Pontianak Selatan;0561-736809 ;-;Pontianak;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat34;Jl. MT. Haryono, Ruko Balikpapan Baru Blok D4 No.6 Kel. Damai, Kec. Balikpapan Selatan;0542-873411 ;0542-873411 ;Balikpapan;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat35;Jl. Jend Sudirman No.59 Kel. Rawa Laut, Kec. Tekate;0721-255813 ;-;Bandar Lampung;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat36;Jl. Perumnas I No.25 Kel. Harem, Kec. Waena;0967-571692 ;-;Jayapura;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat37;Jl. Tuanku Tambusai No.34 D Kel. Jadirejo, Kec. Sukajadi;0761-44447 ;0761-7097276 ;Pekanbaru;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat38;Jl. Ratulangi 119;0411-2332124 ;-;Makasar;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat39;Jl. Diponegoro No.15 F;0751-7873238 ;-;Padang;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat40;Jl. Basuki Rahmat No.2 Kel. Ario Kemuning, Kec. Kemuning;0711-7005100 ;-;Palembang;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat41;Jl. Setiabudi No. 32D Medan Sunggal;061-8227435 ;061-77812344 ;Medan;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat42;Pelataran parkir Hotel Inna Dharma Deli Lt.1 Jl. Balai Kota No.2;061-4528638 ;-;Medan;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat43;Gedung BIEC, JL. M. Yamin No.82 Kel. Tempaja Utara, Kec. Samarinda Utara;0541-7766033 ;-;Samarind;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
PKPU;Jl. Raya Condet No. 27-G Batu Ampar;0804 100 2000;021-87780013;Jakarta Timur;http://www.pkpu.or.id/;-;-;-;-;-;-;-;-;-;-;-;-;
PKPU1;Jl. Raya Pasar Minggu, Kavling III No 49 (Depan Gedung Sucofindo) Pancoran;-;-;Jakarta Selatan;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU2;Jl. Setiabudi No. 70 Kelurahan Sumurboto, Kecamatan Banyumanik;024-7477405;021-70787578;Semarang;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU3;Jl. Prof DR Sardjito No.4, Kelurahan Cokrodiningratan, Kecamatan Jetis;0274-561525;0274-555041;Yogyakarta;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU4;Jl. Ngagel Madya no.83;031-5039285;031-5039285;Surabaya;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU5;Jl. Sukarno hatta No.45 Desa Geuceu Menara, Kecamatan Jaya Baru;0651-43460;-;Banda Aceh;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU6;Jl. Setia Budi Komp. Business Point Blok C No.51, Kelurahan Tanjung Rejo, Kecamatan Medan Sunggal, Medan. ;061-8212502;061-8212643;Medan;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU7;Jl. Raya By Pass No. 16B Padang. ;0751-7054623;-;Padang;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU8;Jl. Prof. Dr. Hamka No. 24 Gurun Panjang Bukittinggi. ;0752-9916263;-;Bukittinggi;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU9;Jl. Merapi No. 92, Kelurahan Panorama, Kecamatan Gading Cempaka;0736-26425;0736-26425;Bengkulu;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU10;Jl. Aroeppala No. 48 Makasar. ;0411-886057;-;Makassar;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU11;Jl. Jendral Gatot Subroto No. 46B;022-7310407;-;Bandung;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU12;Jl. Cikutra No. 138, Kelurahan Padasuka, Kecamatan Cibeunying Kidul;022-7100035;-;Bandung;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU13;Griya Wikarsa Baru 18;0321-330875;-; Mojokerto;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU14;Jl. Dr Soetomo Gg Kecamatan No. 8;0321-870255;-; Jombang;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU15;Jl. Raya Galuh Mas Blok XII No. A-6;0267-8456484;-; Karawang;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU16;Jl. Sutaatmaja Blok Sukahayu RT 69 RW 09;0260-9141062;-; Subang;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU17;Jl. Ciremai Raya Ruko Blok A No. 4 Harja Mukti;0231-480965;-; Cirebon;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU18;Jl. Ruhui Rahayu No. 156, Simpang 4 Lampu Merah Balikpapan Baru;0542-878672;-;Balikpapan;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU19;Jl. Soekarno Hatta No. 182B Simpang Pancuran Koto Nan IV;-;-; Payakumbuh;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU20;Jl. Letjenpol Soemarto Gg. Tampomas RT 03/RW 1 No. 149 Purwokerto. ;0281-7958080;-; Purwokerto;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU21;Jl. Jepara No. 421;0291-3304337;-;Kudus;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU22;Jl. Werkudoro No. 173;(0283) 35 81 30;-; Tegal;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU23;Jl. Perintis Kemerdekaan RT 05/RW 15 Siswodipuran;0276-3336383;-; Boyolali;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU24;Jl. Muwardi No. 21 Badranasri RT 02 / RW 12 Cangakan;0271-6497011;-; Karanganyar;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU25;Jl. Sultan Agung 16, Lumajang. ;0334-879044;-; Lumajang;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU26;Jl. Soekarno Hatta No 31A, Sambong Kanigoro;0342-7846868;-; Blitar;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU27;Pesona Sekar Gading AA-25, Sekardangan;031-8063272;-; Sidoarjo;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU28;Jl. Rambutan No.23 Kelurahan Wowanggu, Kecamatan Wua-wua;0401-3191950;0401-3191950;Kendari;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU29;Jl. Ir. H. Juanda I No. 1A, Kelurahan Lolu Utara, Kecamatan Palu Selatan, Kota Palu 94112;0451-455473;0451-455473;Palu;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU30;Jl Pogidon Raya No 110, Gedung RSI Sitti Maryam Lt III, Kelurahan Tuminting, Kecamatan Tuminting;0431-3631345;-;Manado;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU31;Jl. MT. Haryono No 156, Simpang Lampu Merah Balikpapan Baru. ;0542-7039222;-;Balikpapan;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU32;Klinik Al-Aqsho. Komp. BTN Bukit Manusela Blok B/5-6, Jl. Kebun Cengkeh, Kecamatan Air Kuning, Ambon 97128;0911-312658;0911-312658;Ambon;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
PKPU33;Jl. Cempaka No. 79 Rt. 09/Rw. 02 Tanah Tinggi Ternate;-;-;Ternate;-;PKPU;-;-;-;-;-;-;-;-;-;-;-;
Ulil Albab;Jl. Gagak Hitam 117A;061-8448478;-;Medan;http://www.ulilalbab.org;-;Pembinaan & Pemberian Modal Usaha;Pembinaan & Pemberian Beasiswa;Pembinaan & Pelayanan Kesehatan, dll;-;-;-;-;-;-;-;-;
Yayasan Fajar Islam;Jalan Mutiara No.32 Sumur Batu, Kemayoran;021-4263882;-;Jakarta Pusat;http://www.fajarislam.org;-;Beasiswa, Santunan untuk jompo, bantuan medis;Koperasi Syariah, TKA/TPA/TKIT;-;-;-;-;-;-;-;-;-;
Ar-Rahman;Komplek Bumi Malaka Asri III, Jl. Matahari Raya  No. 2, Duren Sawit;021-86602955;-;Jakarta Timur;http://e-arrahman.com;-;Gerakan Nasional Tadabbur Qur’an;Gerakan Wakaf Al-Qur’an Terjemah;Santunan Guru Ngaji;Beasiswa Santri Pengemban Amanah Al-Qur’an;-;-;-;-;-;-;-;
PPPA;Kawasan Bisnis CBD Ciledug, Blok A3, No.21 Jl. HOS. Cokroaminoto, Karang Tengah, Cilledug;021-73453000;021-73444875;Tangerang;http://www.pppa.or.id;-;-;-;-;-;-;-;-;-;-;-;-;
PPPA1;Ruko Bangbarung Grande Blok K-6 Jl. Pandu Raya No. 27 Bantarjati;0251-8322 355;0251-835 4515;Bogor.;-;PPPA;-;-;-;-;-;-;-;-;-;-;-;
PPPA2;Jl. Gajah Raya No. 111B;024-3304 4345;-;Semarang;-;PPPA;-;-;-;-;-;-;-;-;-;-;-;
PPPA3;Jl. Bend. Sigura-gura Barat Raya 16E Sumber Sari Kec. Lowokwaru;0341-553 644;0341-553 645 ;Malang.;-;PPPA;-;-;-;-;-;-;-;-;-;-;-;
PPPA4;Jl. Kasuari No. 1 Demangan, Catur Tunggal Depok;0274-544 020;-;Sleman;-;PPPA;-;-;-;-;-;-;-;-;-;-;-;
Badan Amil Zakat Provinsi DIY;Jl. Kapas No. 3 Semaki, Yogyakarta;-;-;Yogyakarta;-;-;-;-;-;-;-;-;-;-;-;-;-;
Badan Amul Zakat Kota Yogyakarta;Komplek BalaiKota Yogyakarta;-;-;Yogyakarta;-;-;-;-;-;-;-;-;-;-;-;-;-;
Badan Amil Zakat Kab. Bantul;Jl. DR. Wahidin Sudirohusodo No. 16 Bantul;-;-;Bantul;-;-;-;-;-;-;-;-;-;-;-;-;-;
Badan Amil Zakat Kab. Kulonprogo;Komplek Kantor Kabupaten Kulonprogo;-;-;Kulonprogo;-;-;-;-;-;-;-;-;-;-;-;-;-;
Badan Amil Zakat Kab. Gunungkidul;Komplek Kantor Kabupaten Gunungkidul;-;-;Gunung Kidul;-;-;-;-;-;-;-;-;-;-;-;-;-;
Badan Amil Zakat Kab. Sleman;Komplek Kantor Kabupaten Sleman;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
Baitul Maal Hidayatullah;Balong, Donoharjo, Ngaglik, Sleman;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
LAZIS UII;Jl. Cik Di Tiro No. 1;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
LAZIS Muhammadiyah;Jl. KH. Ahmad Dahlan;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
LAZIS PERKASA;Jl. Kusumanegara;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
LAZIS Rumah Zakat TAJ QURO;Sihono, Panggang;-;-;Gunung Kidul;-;-;-;-;-;-;-;-;-;-;-;-;-;
LAZIS TAZKIYA;Gunungkidul;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
Lumbung Zakat Indonesia;Tempel, Sleman;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
LAZIS SYUHADA;Komplek Masjid Syuhada;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
LAZIS AMRATANI;Jl. Palagan Tentara Pelajar;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
LAZIS Bina Umat;Jl. Timoho;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
LAZIS Dompet Shalahudin;Masjid Komplek UGM;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
LAZIS AL'FALAH;Jl. Monjali, Sinduadi, Malti;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
LAZIS Portal Infaq;Jl. Bantul, Bantul;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
LAZIS Dompet Dhuafa Republika;Jl. Veteran Yogyakarta;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
LAZ DPU - DT;Jl. Ny. Ahmad Dahlan;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
Baitul Maal Al'Khautsar;Jl. Tentara Pelajar Palagan;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
LAZIS Dewan Dakwah Islamiyah;Jl. Timoho;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat Muhammadiyah;Jl. Gedongkuning;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
LAZIS NU 2;Jl. Bantul;-;-;Sleman;-;LAZIS NU;-;-;-;-;-;-;-;-;-;-;-;
UPZ ESQ ;Komplek LPP Jl. Solo;-;-;Sleman;-;-;-;-;-;-;-;-;-;-;-;-;-;
Badan Amil Zakat Nasional;Jl. Kebon Sirih Raya No.57;213904555;213913777;Jakarta Pusat;http://www.baznas.or.id;-;-;-;;-;;-;;-;;-;;
Al-Azhar Peduli Umat;Komplek Masjid Agung Al-Azhar Jl. Sisingamangaraja, Kebayoran Baru;021-722 1504;021-726 5241;Jakarta Selatan;http://www.alazharpeduli.com;-;-;-;;-;;-;;-;;-;;
Swadaya Ummah;Gedung Bank Zakat Jl. HR Soebrantas No. 21;0761-589100;0761-589200;Panam;http://www.swadayaummah.or.id;-;-;-;;-;;-;;-;;-;;
Baitul Maal Hidayatullah;Jl. H. Samali No. 79B Pejaten Barat Pasar Minggu;021-797 5770;021-797 5614;Jakarta Selatan;http://www.bmh.or.id;-;-;-;;-;;-;;-;;-;;
Infak Peduli Masyarakat Islami;Jl. Raya Cimanglid, No. 61 Ds. Sukamantri Kecamatan Tamansari;0251 8388 006;0251 8389 788;Bogor;http://www.zakatinfak.com;-;-;-;;-;;-;;-;;-;;
Yayasan Dana Sosial Al-Falah;Jl. Kertajaya 8C/17 ;031-505 6650;031-505 6656;Surabaya;http://www.ydsf.org/;-;-;-;;-;;-;;-;;-;;
YDSF Gresik;Jl. Panglima Sudirman 8;031-398 0435;-;Gresik;http://ydsfgresik.com/;Yayasan Dana Sosial Al-Falah;-;-;;-;;-;;-;;-;;
YDSF Sidoarjo;Graha Anggrek Mas Regency A-2 ;031-807 0602;-;Sidoarjo;-;Yayasan Dana Sosial Al-Falah;-;-;;-;;-;;-;;-;;
YDSF Malang;Jl. Kahuripan 12 Kota;0341 - 7054156;-;Malang;http://www.ydsf-malang.or.id/;Yayasan Dana Sosial Al-Falah;-;-;;-;;-;;-;;-;;
YDSF Jakarta;Jl. Terusan HR Rasuna Said No. 25, Mampang Prapatan ;(021) 526 6962;(021) 526 6963;Jakarta Selatan;http://ydsfjakarta.org/;Yayasan Dana Sosial Al-Falah;-;-;;-;;-;;-;;-;;
Amanah Tafakul;Jl. Mampang Prapatan Raya No. 100;(021) 7991234;(021) 79193662;Jakarta Selatan;-;-;-;-;;-;;-;;-;;-;;
Baitul Maal Muamalat;Ged. Dana Pensiun Telkom Lt. II Jl. Letjend S. Parman Kav. 56;(021) 5326744;(021) 5326731;Jakarta Barat;http://www.baitulmaal.net;-;-;-;;-;;-;;-;;-;;
Baituzakkah Pertamina;Jl. Medan Merdeka Timur No. 11;(021) 38503166;(021) 3862515;Jakarta Pusat;-;-;-;-;;-;;-;;-;;-;;
Bamuis Bank BNI; Jl. Pejompongan Raya 23;021) 5743573;(021) 5743964;Jakarta Pusat;http://www.bamuisbni.com;-;-;-;;-;;-;;-;;-;;
Badan Amil Zakat DKI Jakarta;Gedung Prasada Sasana Karya Jl. Suryo Pranoto No.08;(021) 3901367;021-63866761;Jakarta Pusat;http://www.bazisdki.go.id;-;-;-;;-;;-;;-;;-;;
Baitul Maal Pupuk Kujang;Jl. Jend. Ahmad Yani No. 39;0264-316141;0264-314235;Cikampek;-;-;-;-;;-;;-;;-;;-;;
Baitul Maal Pupuk Kaltim;Lantai Dasar Masjid Baiturrahman Jl. Tulip 01 PC VI PT Pupuk Kaltim Timur;0548-41202;0548-20185;Bontang;-;-;-;-;;-;;-;;-;;-;;
Badan Pengelola Zakat Infak Sedekah Bank Mandiri;Plasa MANDIRI Gatot Subroto Kav. 36-38;021-5265045;021-52964066;Jakarta Pusat;http://www.bpzismandiri.org;-;-;-;;-;;-;;-;;-;;
Bina Sejahtera Mitra Ummat;Gedung Bank Syariah Mandiri Lt. Dasar Jl. M. H. Tamrin No. 5;(021) 2300509;(021) 39832976;Jakarta Pusat;-;-;-;-;;-;;-;;-;;-;;
Dompet Peduli Ummat Daarut Tauhid; Jl. Geger Kalong Girang No. 32;022-70775632;022-2021862;Bandung;http://www.dpu-online.com;-;-;-;;-;;-;;-;;-;;
Dompet Peduli Ummat Daarut Tauhid 2;Jl. Ir. H. R. Juanda No. 50 Ciputat;(021) 7401460;(021) 7401351;Jakarta Selatan;http://www.dtjakarta.or.id/;Dompet Peduli Ummat Daarut Tauhid;-;-;;-;;-;;-;;-;;
Dompet Peduli Ummat Daarut Tauhid 3;Jl. Sutisna Senjaya Belakang No.129;(0265) 338535;0265-7042525;Tasikmalaya;http://www.priangantimur.dpu-online.com/;Dompet Peduli Ummat Daarut Tauhid;-;-;;-;;-;;-;;-;;
Dompet Peduli Ummat Daarut Tauhid 4;Jl. Jabaru IV No.7, Rt.04/05, Kelurahan Pasir Kuda Kecamatan Ciomas;(0251) 8631126 ;(0251) 8631126 ;Bogor;-;Dompet Peduli Ummat Daarut Tauhid;-;-;;-;;-;;-;;-;;
Dompet Peduli Ummat Daarut Tauhid 5;Jl. KH. Agus Salim No. 56 A Notoprajan, Ngampilan;(0274) 6560086;(0274) 566171;Yogyakarta;http://www.dpudt-jogja.org;Dompet Peduli Ummat Daarut Tauhid;-;-;;-;;-;;-;;-;;
Dompet Peduli Ummat Daarut Tauhid 6;Jl. Dr. Wachidin No. Family House G-8 Kecamatan Candi Sari;(024) 844993;-;Semarang;http://www.dpudt-semarang.com/;Dompet Peduli Ummat Daarut Tauhid;-;-;;-;;-;;-;;-;;
Dompet Peduli Ummat Daarut Tauhid 7;Jl. Diponegoro No.170;(0721) 488309;(0721) 486964;Bandar Lampung;-;Dompet Peduli Ummat Daarut Tauhid;-;-;;-;;-;;-;;-;;
Dompet Peduli Ummat Daarut Tauhid 8;Jl. Seduduk Putih No. 005 Rt. 17/7;(0711) 739 0009;(0711) 812763;Palembang;-;Dompet Peduli Ummat Daarut Tauhid;-;-;;-;;-;;-;;-;;
Lembaga Amil Zakat Dewan Dakwah Indonesia;Jl. Kramat Raya 45;(021) 31901233 ;(021) 3903291;Jakarta Pusat;http://www.lazisdewandakwah.org;-;-;-;;-;;-;;-;;-;;
Lembaga Amil Zakat Persaudaraan Haji Indonesia;Jl. Tegalan No. 1 Matram;021-8576645;021-8576645;Jakarta Timur;-;-;-;-;;-;;-;;-;;-;;
Lembaga Amil Zakat dan Infaq Malang;Jl. Bogowonto No. 45;031-5621212;031-5681829;Surabaya;-;-;-;-;;-;;-;;-;;-;;
Lembaga Amil Zakat Al Hijrah;Jl. Pasundan 18 Kec. Medan Petisah;061-8224668;061-77842767;Medan;-;-;-;-;;-;;-;;-;;-;;
Pusat Zakat Ummat; Jl. Perintis Kemerdekaan No. 2;(022) 4220704;022-4220702;Bandung;-;-;-;-;;-;;-;;-;;-;;
Lembaga Amil Zakat Yaumil PT Badak LNG;Masjid Al Kautsar Komp. PT. Badak LNG;0548-5108555;0548-552189;Bontang;-;-;-;-;;-;;-;;-;;-;;
LAZIS Garuda;SBU Garuda Sentra Medika, Jl. Angkasa Blok B 15 No. 1 Kemayoran;021-4243413;021-4243227;Jakarta Pusat;http://www.Lazisgarudaindonesia.or.id;-;-;-;;-;;-;;-;;-;;
LAZIS NU;Jl. Kramat Raya No. 164;021-3102913;021-3102913;Jakarta Pusat;-;-;-;-;;-;;-;;-;;-;;
Lembaga Manajemen Infaq;Komplek Ruko Taman Intan Nginden Jl. Nginden Intan Raya N0 12 ;031-5621212;031-5920299;Surabaya;http://www.lmi-amilzakat.com;-;-;-;;-;;-;;-;;-;;
Portal Infaq;Jl. Radio IV No. 8 A Kebayoran Baru;(021) 72786073;(021) 72786074;Jakarta Selatan;-;-;-;-;;-;;-;;-;;-;;
Yayasan Baitul Maal BRI;Gedung Olah Raga BRI Lt. 2 Jl. Jend Sudirman Kav. 44-46;(021) 57932809;(021) 5752724/26;Jakarta Barat;http://www.ybm-bri.or.id;-;-;-;;-;;-;;-;;-;;
Dompet Sosial Ummul Quro; Jl. Dederuk 30;022-2500116;022-2500116;Bandung;-;-;;-;;-;;-;;-;;-;;
