Nama	Alamat	Email	website	Telp	Fax	Pengasuh
Al Amin (Putra-Putri)	Jl. HR. Boenyamin Gg. Gn. Sindoro No. 13A Pabuwaran Purwokerto Utara 53124 Jawa_Tengah 	  -	  - 	 625452 	 - 	KH. Drs. Muhammad Ibnu Mukti, M.PdI.
Al Amiriyah (Putra-Putri)	ds.Kambangan kec.Lebaksiu Tegal Jawa_Tengah 	  najela@yahoo.com	-	 	-	Kh.Syamsul arifin
Al azhar (putra-putri)	jatisari kasturi kec cikijing provinsi malalengka jawa barat 	  asepnurulnurul@yahoo.co.id	-	 0233 914314  	-	k Nanang Abdul latif
Al Aziziyah	Denanyar Jombang Jatim	-	-	 	-	KH A Aziz Masyhuri
Al Baqiyatush Shalihat (Putra-Putri)	Jl Prof DR Sri Soedewi, MS Kuala Tungkal-Jambi Jambi	-	-	 (0742) 22173  	-	
Al Fadoli	Jl. Mertojoyo Bloks S/9 Merjosari Lowokwaru Malang 65114 Jatim 	  ali_syaifuddin@yahoo.com	-	 (0341) 585523  	-	KH. M.Rofi' Mahmud
AL FAJAR (Putra-Putri)	Desa Jatijajar Kecamatan Ayah Kab. Kebumen Jawa_Tengah 	  im_badrust@yahoo.com	-	 085225015979/0287  	-	KH RIDWAN ALI BAROKAH
Al Falah (Putra-Putri)	Jl.A.Yani Km.23 Landasan Ulin Banjarbaru Kalimantan_Selatan	-	-	 05114705050,4705060 	 0511 4705050 	Hasbullah Bakri,Drs,KH
Al Falah (Putra-Putri)	Jln. Serma BAdullah 130 Pacul Bojonegoro 62114 Jawa_Timur 	  angganotogomo@yahoo.com	-	 0353 884024  	-	KH. MASYHUDI HASAN
AL FALAH (putra-putri)	SOMOLANGU SUMBERADI KEBUMEN JAWA TENGAH 	  akhamidi@yahoo.com	-	 02873870944  	-	KH Musyafa' Aly
Al Falah - Assholihat (Putra-Putri)	Sampangan Bumirejo Kaliangkrik Jawa_Tengah 	  muhammad.hanafi@gmail.com	-	 	-	KH Sa'dullah Ustman
Al Falah Biru (Putra-Putri)	Jl Raya Samarang Ds Mekargalih Kec Tarogong Kidul Kab. Garut Jawa_Barat	-	-	 (0262) 235252  	-	K.H Enjang Saepudin , K. Hanif Ma'mun Budi Kafrawi
Al Fatah (Putra-Putri)	Temboro, Karang Rejo, Karas Magetan (63395) Jatim	-	-	 (0351) 869605 - 869602  	-	KH. Uzairon Thoifur Abdillah LC
AL FATAH (Putra-Putri)	Pasirbentik, Bojonggaling, Bojonggenteng, Sukabumi 43353 Jawa_Barat 	  pesantren.alfatah@gmail.com, sonhazie@gmail.com	-	 (0266) 7081615  	-	Hj. Euis Fathonah, KH. Aa Asep
AL FATHIMIYYAH (Putri)	TAMBAKBERAS JOMBANG Jawa_Timur	-	-	 0321 861832  	-	NY Hj Musyarrofah Bisyri
AL FATTAAH (Putra-Putri)	JL. Dandang Gendis 94 Doko KEDIRI Jawa_Timur	-	-	 ( 0354 ) 671647  	-	KH. Moch Ichsan
AL Fatwa (Putra-Putri)	Kp. Cilegong ds Sukajaya kec. Sukaremsi kab. Garut Jawa_Barat 	  aguskurn@gmail.com	  - 	 085222468783 	 - 	A Isep
Al Fauziyah (Putra)	Jl. Randuagung 17 Klakah Lumajang Jawa_Timur 	  arivole1@yahoo.com	-	 0334-441503 	 0334-441503 	Ust. Moch Arif Hidayat, SAg.
Al Fudhola (Putra-Putri)	Desa Lemah Duhur Rt05/03 Kec.caringin Kab.Bogor 16730 Jawa_Barat 	  syahlaniahmad@yahoo.co.id	  --- 	 --- 	 --- 	KH Taufiq Dayyan
AL GHOZALIE (93)	Jln. Brawijaya no 147 Pungging Mojosari Mojokerto Jawa Timur 	  Pesantren@alghozalie.com	  Alghozalie.com 	 0321 591295  	-	KH. ACHMAD SHONHAJI MAHFUDZ
AL HAADI (putra-putri)	Kunjang RT/RW 02/01 - Kec. Ngancar - Kab. Kediri Jawa Timur 	  lpialhaadi@yahoo.co.id	-	 0354 444436 	 - 	Ustadz Syihabudin Rahmat
Al hadi (250)	Jln Dr Sutomo Pasangan Jawa Timur	-	-	 0353551442  	-	Kh nasuha nahrowi
AL HAMDANIYAH (Putra-Putri)	SIWALAN PANJI BUDURAN SIDOARJO Jawa_Timur	-	-	 0318924004  	-	KH ABDURROHIM RIFA'I
Al Haromain (Putra-Putri)	Rajekwesi Mayong Jepara Jawa_Tengah 	  alharomain_1@yahoo.Com	-	 08122900979  	-	Gus Qutub 'Izzidin Alh Lc
Al Hayatul Islamiyah (Putra-Putri)	Jl.KH.Malik Dalam 01/04 No.1 Kedungkandang kota Malang Jawa_Timur 	  alhayat_is@yahoo.com	-	 0341-716439,716440  	-	Drs.KH.Irfan Aziz,M.Ag
Al Hidayah (Putra-Putri)	karangsuci watumas purwokerto Jawa_Tengah 	  pp.alhidayah@gmail.com	-	 0281631166  	-	1. Nyai Dra Hj. Nadhiroh Noeris, 2. Agus Yusuf Noeris SH. Mhum., 3. Agus Ahmad Arif Noeris
AL HIKAM	BANYUDONO BOYOLALI Luar_Negeri	-	-	 02717009510  	-	KH.AHMAD YANI,SAg,MPdI.
Al Hikmah (Putra-Putri)	jl. sultan agung gang raden saleh no. 23 kedaton bandar lampung Lampung	-	-	 0721788830  	-	Ust. H. Basyaruddin Maisir
Al Hikmah (Putra-Putri)	Dusun Sumberjo Karangmojo Gunungkidul DI_Yogyakarta 	  alhikmah@ppalhikmah.org	  http://ppalhikmah.org/index.html 	 0811286456-081578175135 	2747111283	Harun Al Rosyid-Ngadni Al Huda
Al Hikmah (Putra-Putri)	Ds. Sumberjo Kel./Kec. Karangmojo Kab. Gunungkidul Yogyakarta DI_Yogyakarta 	  ppalhikmah@ymail.com	  www.ppalhikmah.com 	 0811286456 & 081578175135 	 0274-7111283 	Ustadz H. Harun Al Rosyid, Ustadz Hanung, Ustadz Riyanto, Ustadz Ahmad Suyanto, Dll.
Al Hikmah 1 (Putra-Putri)	Benda kec. Sirampog kab.Brebes Jawa_Tengah 	  nunu_shofa@yahoo.com	-	 0289 432566  	-	Kh. Labib Shodiq
Al Hikmah 2 (Putra-Putri)	Benda Sirampog Brebes Jateng Jawa_Tengah 	  Muallimat2@yahoo.com	-	 0289 432445 	 0289 430494 	KH.MAsruri ABdul Mughni
Al Hikmah Melathen (Putra-Putri)	Jl. Lawu 05 Kalangbret Tulungagung Jawa_Timur 	  al_hikmah_melathen@mail.com	-	 0355-7709378  	-	KH. Mochammad Mahfudz (alm.) / KH. Hadi Mochammad Mahfudz
Al Huda (Putra-Putri)	Dsn.Petak ds.Sidoharjo Kec.Susukan Kab.Semarang Jawa_Tengah 	  najela@yahoo.com	-	 0298 615038  	-	
AL HUDA (Putra-Putri)	jln Masjid Al Huda 194 Kediri Jawa_Timur 	  alhuda@yahoo.co.id	-	 0354-694715 	 0354-699544 	KH AHMAD SHODAQOH ZARKASYI
Al Huda (putra-putri)	Jl. Delima No.2 Bulurejo Damarwulan Kepung Kediri JAWA TIMUR	-	-	 (0354) 7081205  	-	Kyai. Aminin As
Al Islam Yogyakarta	Jl. Bantul Km 2, Condronegaran, Gedongkiwo MJ I / 814 - 890 Yogyakarta 55142 DIY 	  ppalisyk@gmail.com	-	 0274-389435 	 0274-389435 	Ust. H. Dirja Subrata
Al Ishlah Putra Langgar Genteng	jl kramat 81 singosari malang 65153 Jawa_Timur 	  apspp@plasa.com	-	 0341 441346  	-	KH. Badawi Umar
Al Ishlahudiny (Putra-Putri)	Jl. TGH. Abdul Karim Kediri Lobar 	-	-	 	-	
AL ISTIGHOTSAH (Putra-Putri)	Dsn. Sentulan Kel. Panggungrejo Tulungagung Jawa_Timur 	  dit.nugroho@gmail.com	-	 085645843007  	-	Romo KH. Ihsan Dloruri Suhaimi
Al itqon (Putra-Putri)	Jl KH Abdurrasyid bugen semarang Kalimantan_Timur	-	-	 	-	KH Harish Shodaqoh
AL JAUHAR (Putra)	JL. NIAS III / 5 JEMBER Jawa_Timur	-	-	 031335344  	-	KH. SAHILUN A NASHIR MPDI
Al Jihad Sunan Drajat (Putra-Putri)	Banjarwati Paciran Lamongan Jawa_Timur 	  al_jihad@plasa.com	-	 0322-665413  	-	KH. Mustaji, S.Ag
Al Kaelani (250)	Jl. Raden Santri V/5 Gresik Jawa Timur 	  pp_alkaelani@yahoo.com	-	 	-	KH. Moh. Sholeh, KH Munawwir Kaelani, Abdulloh Kaelani, Ali Murtadho Al Arba'in
Al Kamil (Putra-Putri)	Jl.Siliwangi Kp.Doyong Kel.Alam Jaya Kec.Jatiuwung Tangerang Banten	-	-	 0818178137  	-	KH Encep Komaruddin MPd ; KH Muhammad Syuaeb
AL KARIMAH (putra-putri)	Jl. Pemda Kp. Lima RT. 04/02 Ds. Pasirjambu Kec. Sukaraja Kab. Bogor 16710 Jawa Barat	-	-	 0251-7167485  	-	KH. Ahmad Junaedi, A.Ma
AL KARIMIYAH (Putra-Putri)	PUNGANGAN SUBANG Jawa_Barat 	  ah_syahid@yahoo.co.id	-	 	-	K. Thola' Al Badr Karim
AL KHOLILI DARUNNAJAH (Putra-Putri)	Jl. bedadung kotok kalisat Jawa_Timur	-	-	 	-	KH. SAMAWAN ABDULLAH
AL KHOTIMAH (Putra-Putri)	Jl. Raya Gayaman RT/RW. 04/ 02 Desa. Gayaman, Kec. Mojoanyar, Kab. Mojokerto Jawa_Timur 	  al_khotimah@yahoo.co.id	-	 (0321)397366/ HP. 085730130999  	-	HJ. KHUSNUL KHOTIMAH, S. Ag, MM
AL Luqmaniyyah	Jl. Babaran DIY 	  pplq@gmail.com	  http://pplqjogja.wordpress.com 	 0274377838  	-	KH Najib Salimi
AL MABRUR (BADRIDDUJA) (Putri)	JLN SUNAN KUDUS NO9 KRAKSAAN PROBOLINGGO (67282) Jawa_Timur 	  yayasan_almabrur@yahoo.co.id	-	 0335-844279  	-	Ny Hj Lailatul Jum'ah Badri S Ag
AL MANSHURIYAH (Putra-Putri)	JL. KH MANSHUR NO. 16 KEL. PORIS PLAWAD INDAH RT. 03/03 KEC. CIPONDOH KOTA TANGERANG Banten	-	-	 021-5547221 	 021-55742795 	KH. NAJIB SYAHRUWARDI
Al Marzuqi (putra-putri)	JL KH Marzuqi Syakur Nglingi Ngasem Bojonegoro Jawa Timur 	  syakuralmarzuqi@yahoo.com	  syakuralmarzui.org 	 085726854354  	-	KH.Ag Ali Baidlowi Marzuqi
AL MIFTAH (Putra-Putri)	Kauman, Jatisarono, Nanggulan, Kulon Progo, DI Yogyakarta 55671 DI_Yogyakarta	-	-	 0274 7437335  	-	KH.R. A. JIRONY
al Mihraab (Putra)	Sebaneh Bancaran Bangkalan Madura Jawa_Timur 	  mis_almihraab@telkom.net	-	 	-	Imam Makhsoes Ridhwan
Al Mu'awwanah (Putra-Putri)	Kp. Ciela Kec. Cisurupan Garut Jawa_Barat 	  almuawwanah@yahoo.com	  www.al-muawwanah.org 	 0222509120 	222509120	KH. Lukmanulhakim
Al Muayyad Mangkuyudan (Putra-Putri)	Jl. KH. Samanhudi No. 64 Surakarta Jawa_Tengah 	  azee_fha@yahoo.co.id	-	 0271727138  	-	KH. Abdul Razaq Syafawi
AL MUJAHIDIN (Putra)	DUSUN CALUNG, TELUKJAMBE BARAT, KARAWANG Jawa_Barat 	  dedezubaida@yahoo.co.id	-	 	-	BUYA FATHURRAHMAN
Al Mubarok (Putra-Putri)	Dusun Garon PanggungHarjo Sewon Bantul Yogyakarta DI_Yogyakarta	-	-	 	-	Ky. Yazid Busthomy
AL MUNAWWAR (Putra-Putri)	SAGULING BABAKAN KAWALU TASIKMALAYA Jawa_Barat 	  ypp_almunawwar@yahoo.co.id	-	 0265 338914  	-	KH MUMUN MUNAWWAR
Al Munawwaroh (putra)	Jl Kyai Sofyan Yusuf 32 Kedungkandang Malang Jawa Timur 	  ponpesalmunawwaroh@yahoo.co.id	-	0341-719222-719496  	-	Ust. Lookh Makhfudz
Al Munawwir (putra-putri)	Jl Raya Lama Gringsing No.16 Gringsing - Batang Jawa Tengah 	  almunawwirgringsing@gmail.com	  http://almunawwir.yolasite.com/ 	 0294 3645314  	-	KH Sholichin Syihab
AL MUQOWAMAH (Putra-Putri)	JL. PERIKANAN DARAT NO.29 DS. CIPAKAT KEC. SINGAPARNA KAB. TASIKMALAYA Jawa_Barat 	  pstamq@yahoo.id.com	-	 (0265) 546080 - 546083 	 (0265) 546083 	K.H DEDE ZAENAL ABIDIN,Drs
AL MUSAFIRIN	JL. ELTARI KM 3 KPG  KEFAMENANU - TTU - NTT NTT 	  yayuk_faza@yahoo.com	-	 	-	DZUL AHSAN ADZIMAWI
Al Muta'allimin	Jl. Kemandoran Pluis, Palmerah Barat, Jakarta Selatan 12210 DKI_Jakarta	-	-	 (021) 5480732, 5493426  	-	Ust. Muhammad Faishol Lc., MA.
AL MUTHOHHAR	PLERED PURWAKARTA Jawa_Barat	-	-	 	-	K H MANAF SHOLEH
Al Muttaqien (Putra-Putri)	Sowan Kidul Kedung Jepara Jawa_Tengah	-	-	 0291-3307532  	-	KH. Sartono Munadi
al Nur (Putra-Putri)	babalan wedung demak Jawa_Tengah 	  mawaddaturrohmah@yahoo.com	-	 081328580080  	-	K.H. Muhammad Nur Shohib
Al Qodir (Putra-Putri)	Dusun Tanjung, Wukirsari, Cangkringan, Sleman, Yogyakarta 55583 DI_Yogyakarta 	  santri@alqodir.co.id	  www.alqodir.co.id 	 0274-896466 	 0274-898158 	Drs. Ngabdullah, M.PdI
Al Safi'iyyah (Putra-Putri)	Gembong Temenggungan Udanawu Blitar Jawa timur Luar_Negeri 	  alsafiiyyah@yahoo.com	  www.alsafiiyyah.blogspot.com 	 	-	Agus Mubarok Habibi Shohiddin
Al Umm (Putra)	Sari Bumi Indah Blok D21 No.1 Binong, Curug, Tangerang Banten 	  Al_Umm@Yahoo.Co.Id	-	 085693466189  	-	KH. A.M. Manar
Al Wahid (Putra-Putri)	jl wahid hasyim Lampung 	  wahid_pes@yahoo.com	  wahid.ac.id 	 037588899 	37588899	wahidan
Al- Mimbar (Putra-Putri)	Jl. KH. Mimbar no.118-120 Sambongdukuh Jombang Jawa_Timur	-	-	 	-	
Al-Ahsan (Putra-Putri)	Karangan, Bareng, Jombang Jawa_Timur 	  --	  -- 	 0321-6117079 	 -- 	KH Nafihuzzuha, S.Ag
AL-AKROM (Putra-Putri)	Jl.Kyai Santri Ds.Banyuurip Kec.Margorejo-Pati Jawa_Tengah 	  al-akrom@telkom.net	-	 0295-5504058,5508407 	 0295-384450 	KH.Imam Al-Mukromin.S.Pd.I, Ahmad Subari.S.Pd.I
Al-Akrom (anak)	Jl.Raden Santri,Desa Banyuurip Kec.Margorejo Kab.Pati Jawa Tengah 	  ponpes_alakrom@telkom.net	  - 	 02955504058,081325735336 	295384450	Imam Al-Mukromin.M.Ag
AL-amalul khoir (Putra-Putri)	Jln.Lunjuk jaya Bukit Besar Palembang Sumatera_Selatan	-	-	 (7110) 314626  	-	Ust.Nanang Sodiq
AL-AMANAH	TANGERANG Banten	-	-	 	-	
Al-Amanah Al-Gontory (Putra-Putri)	Perigi Baru Pondok Aren Tangerang Banten 	  jhontadicxers@Yahoo.com	-	 (021) 74863180 	 (021) 74863180 	KH.Sundusi Ma'mun
Al-Amien	Prenduan Pragaan Sumenep Jatim	-	-	 	-	KH Tijani Jauhari
Al-Amin (Putra-Putri)	Jl. Air Tanjung 28 Cukang, Tanjung Kawalu Kota Tasikmalaya Jawa_Barat	-	-	 0265320444  	-	KH Wawan Setiawan MA
Al-amin (Putri)	Jl.Raya Bogor Jawa_Barat 	  al_amin@yahoo.co.id	  Al-amin.com 	 025133333 	251333334	Ahmad
Al-Amiriyah (Putra-Putri)	Jl. Desa Kambangan. Lebaksiu Tega Jawa_Tengah 	  lukman.kharis@yahoo.co.id	-	 	-	KH. Syamsul Arifin
AL-AMNANIYAH (Putra-Putri)	Talok-Puhti-Karangjati-Ngawi Jawa_Timur 	  eko.okeoke@yahoo.co.id	  www.al-amnaniyyah.com 	 	-	K. Watsiq Amnani
Al-AMNANIYAH 2 (Putra-Putri)	Danguk-Bangon-Karangjati-Ngawi Jawa_Timur 	  eko.okeoke@yahoo.co.id	  www.al-amnaniyyah.com 	 	-	KH. TAUFIQ NUR AZIZ
al-Anshor (tahfiz)	Bulung Cangkring Jekulo Kudus 59382 Jawa Tengah 	  ainur2rofiq@yahoo.com	  ponpesalanshor.blogspot.com 	 08282572323 	2913322253	KH. Ainur Rofiq al-Hafidz. K. Hadits mabrur. K. Mustain Ihsan dll
Al-Anwar	Karang Mangu - Sarang - Rembang 59274 Jateng	-	-	 (0356) 411-321  	-	KH. Maimoen Zubair
al-anwar (Putra-Putri)	pasawahan kec. susukan lebak kab. cirebon Jawa_Barat	-	-	 	-	K.H. Abdur Rasyid
al-anwar	demak, jawa tengah Jawa_Tengah 	  -	  - 	 - 	 - 	ahmad basyir
al-anwar nur (Putra-Putri)	jl. civmen no 21 bogor Jawa_Barat 	  info@al-anwarnur.net	  www.al-anwarnur.com 	 0251-78574587 	 0251-78574588 	H. Rizki bin nur
AL-ANWARY (Putra-Putri)	DESA MPURI KEC.MADAPANGGA KAB. BIMA NTB	-	-	 	-	Uztad Khaeruddin
AL-AQOBAH (Putra-Putri)	JALAN GERILYA 50 KWARON DIWEK JOMBANG 61471 Jawa_Timur 	  faqih_undar@yahoo.com	  WWW.AL-AQOBAH.NET 	 0321864578  	-	KH. A. JUNAIDI HIDAYAT, SH. S.Ag
Al-Aqsa (Putra-Putri)	Tegalyoso, Klaten Selatan, Klaten Jawa_Tengah 	  alfian_masajid@yahoo.co.id	-	 0816672410  	-	Kh. Muah. Alfian Masajid
Al-aqsa (Putra-Putri)	klaten selatan, klaten Jawa_Tengah 	  alfian_masajid@yahoo.co.id	  http//:alfian-masajid.blogspot.com 	 085642312086  	-	KH. Muhammad Alfian Masajid
Al-Ashriyyah Nurul Iman (Putra-Putri)	Jln Nurul Iman Desa Soleh Waru jaya RT 01/01 PO Box 107 SWG 16500 Kec. PARUNG Kab. BOGOR Jawa_Barat 	  habibsaggaf@nuruliman.or.id	  http://www.nuruliman.or.id/ 	 (0251)542653/7165512  	-	Yayasan Pondok Pesantren Al-Ashriyyah Nurul Iman
Al-asyariyyah (Putra-Putri)	jalan.mojotengah. kalibeber Wonosobo Jawa_Tengah	-	-	 	-	Muntaha Asyari
AL-ASYIQIEN II (putra-putri)	Jl.Dr junjunan dalam no 2 Rt02/03 Bandung 40173 jawa barat	-	-	 (022) 6073560  	-	KH.Babrudin / KH.Iman /Ustd.H Dadang
AL-ASROR (Putra-Putri)	Bangkalan Madura Jawa_Timur	-	-	 	-	KH. Tamhid Turmudzi
AL-AZHAR (Putra-Putri)	Jl. cangkring sari, kel. sokanandi kec/kab. banjarnegara Jawa_Tengah 	  -	  - 	 - 	 - 	K. Musoffa
Al-Aziziyah (Putra-Putri)	jl.kedungpeluk 3 kebonsari rt01 rw03 candi sidoarjo Jawa_Timur 	  admin@ponpes.com	  www.ponpes.com 	 0318929540 	318929540	K.H.muhammad nur yasin
AL-BAROKAH (Putra)	Kp. Pasanggrahan, Rt 02/01, Desa Pasanggrahan, Kecamatan Solear, Kabupaten Tangerang Banten	-	-	 	-	K.H. MUHAMMAD SHIDDIQ SURYADIWANGSA
Al-Bayan (Putra-Putri)	Cigalempong, Nameng, Rangkasbitung Banten 	  pengurus@ponpesalbayan.net	  ponpesalbayan.net 	 0252-208169  	-	KH. Drs. Eeng Nurhaeni
Al-Busyro (Putra)	Krapyak Kulon Sewon Bantul DIY DI_Yogyakarta	-	-	 0818264717  	-	K. Muhtarom Busyro
Al-Es'af (Putra dan Putri)	Jl. Tejonoto 1 Jogosuran Danukusuman Surakarta 57156 Jawa Tengah 	  esaf@stas.ac.id	  www.stas.ac.id 	 0271 645235 	 0271 645235 	Ust. Muh. Mukharom Ridho, S.Hi, Al- Hafizh
Al-Falah	Ploso Kediri Jatim	-	-	 	-	KH Zainuddin Jazuli
AL-FALAH (Putra-Putri)	Sambirobyong, Baron, Nganjuk  64394 Jawa_Timur 	  slih@telkom.net	  - 	 0358 - 551820 	 - 	KH. Yustafad, SH
AL-FALAH (Putra-Putri)	KOMP. ALFALAH SRIKATON KAYEN PATI Jawa_Tengah	-	-	 0291-3303218  	-	MAHMUD GHAZALY
AL-FALAH (Putra-Putri)	Desa Kajar Kec. Tenggarang Jawa_Timur 	  wahid_ma@telkom.net.id	-	 (0332)7712509-081357244445  	-	K. Muhammad Ali Mufi
Al-Falah	Kalimalang Mojomulyo Puger Jember Jawa Timur 	  alfalah_kalimalang@yahoo.co.id	  www.alfalahkalimalang.com 	 085746664500  	-	ky.Thoifur Albusthomi Sholihan
Al-Falahiyah (Putra-Putri)	Mlangi, Nogotirto, Gamping, Sleman DI_Yogyakarta	-	-	 0274- 625844  	-	Agus Rifqi Aziz Maï¾sum ZT
Al-Fathimiyah (putra)	Dsn. Sukatani No 69 Desa Pinayungan Kecamatan Telukjambe Timur Kabupaten Karawang Jawa Barat	-	-	 	-	
al-fathimiyyah (Putri)	TANBAKBERS JOMBANG Jawa_Timur	-	-	 	-	KH.MUSYARROFAH FATTAH
Al-Fattah	Jl. KH Ahmad Siddiq No. 200 Jember Jatim	-	-	 0331-488490  	-	Gus Arif Rusydi Huda
Al-Fattah	Siman Sekaran Lamongan Jatim	-	-	 	-	
Al-Fitroh	Kedinding Lor Timur Surabaya Jatim	-	-	 031-5943593  	-	KH Asrori Al-Ishaqi
Al-Fudhola (putra-putri)	Jl.Raya Sukabumi Kp.Cimande Girang Rt 05 Rw 03 Ds.Lemah Duhur Kec.Caringin Kab.Bogor 16730 Jawa Barat 	  syahlaniahmad@yahoo.co.id	-	 +6285691210213,+6281513118721  	-	KH.Taufiq Dayyan,Ust Moch.Badri Tamam
Al-Furqoniyah (Putra-Putri)	Kp. Citugu Ds. Tugujaya Cigombong Kab. Bogor Jawa_Barat 	  alfurqoniyah@gmail.com	  www.alfurqoniyah.blogspot.com 	 0251-220556 	 0251-221643 	Drs. A. Ahmad Nadzir/A. Mahdar H., S.Ag
Al-Gozali (Putra-Putri)	Kedung Panji-Lembeyan - Magetan Jawa_Timur	-	-	 	-	Imam Subakir
Al-Hamidiyah (Putra-Putri)	Jl. Raya Sawangan Pancoran Mas Depok Jawa_Barat	-	-	 	-	K. H. Zaenuddin Ma'soem Ali
Al-Hamidiyyah Bahrul 'Ulum (putra-putri)	Tambakberas Jombang Jawa_Timur	-	-	 (0321) 862017  	-	KH.M.Irfan Sholeh
Al-Hasaniyyah (Putra)	Babakan Kaum Cicurug Sukabumi Jawa_Barat 	  -	  - 	 0266-731670 	 - 	K.H.R.A. Muhammad Baidlowi
Al-Hidayah (Mahasiswa)	Karangsuci, Purwanegara, Purwokerto Utara Jawa_Tengah	-	-	 (0281) 631166  	-	Nyai Hj. Dra. Nadhiroh Noeris
al-hidayah (Putra-Putri)	kp ci buntu des saribakti kec pendeuy kb garut Jawa_Barat	-	-	 ... 	 ... 	U BAHRUL ULUM/BUBU BURHANUDIN
AL-HIDAYAH (250)	KIHIYANG BINONG SUBANG 41253 JAWA BARAT 	  alhidayah.kihiyang@gmail.com	  - 	 0260-451207 	 - 	ALI IMRAN, S.Ag. , FUAD NAWAWI, S.Th.I.
al-hidayah (96)	jl. Hm sarbini no 125 kebumen jawa tengah	-	-	 (0287 )381255  	-	K. Hakim Musyafa
Al-Hidayah Arrohiliyyah Bekasi (Putra-Putri)	Jl. KH. Agus Salim, Kp.Keramat Lengkak RT.4/8 Bekasi Jaya, Bekasi Timur Jawa_Barat	-	-	 021-88344558  	-	Kyai Masturo HR, S.Ag.
Al-Hikam (Mahasiswa)	Jl. Cengger Ayam 25 Malang 65141 Jatim 	-	  http://www.al-hikam.org	 0341. 475387 	 0341. 475387 	KH A Hasyim Muzadi
AL-HIKAMUSSALAFIYYAH (Putra-Putri)	Jl. Sukamantri No. 85 Desa Sukamantri Kecamatan Tanjungkerta Kabupaten Sumedang Jawa_Barat	-	-	 0261-208350,207282,208500  	-	K.H. Sa'dulloh, SQ
Al-Hikamussalafiyyah (putra-putri)	Jl. Sukamantri 85 Tanjungkerta Sumedang Jawa Barat 	  sadulloh_muhammad@yahoo.com	-	 (0261)2700964,2700962  	-	K.H. Sa'dulloh, SQ
Al-Hikmah	Sawahan Mojosari Mojokerto Jatim	-	-	 	-	KH Ali Masâadi
Al-Hikmah	Jl. Raya Purwoasri Kediri Jatim	-	-	 	-	KH Zaimuddin Badrus
al-hikmah (Putra-Putri)	jl. sultan agung gang raden saleh no.23 way halim kedaton bandar lampung Lampung 	  suhengsheng@ymail.com	-	 (0721) 700992 	 (0721) 700992 	Kh. Muhammad Sobari
Al-Hikmah (Putra-Putri)	Desa Semberjo, Kec. Karangmojo, Kab. Gunungkidul DI_Yogyakarta 	  -	  - 	 - 	 - 	H. Ngadni Al-Huda
